time(h:m:s),Satellites,Latitude,Longitude,Altitude,Time,Course,Speed
21:59:28,0,nan,nan,0,0,0,0
21:59:30,0,nan,nan,0,0,0,0
21:59:30,0,nan,nan,0,0,0,0
21:59:30,0,nan,nan,0,0,0,0
21:59:30,0,nan,nan,0,0,0,0
21:59:30,0,35.4128033,138.593455,902.8,0,334.96,0.247
21:59:30,0,35.4128033,138.593455,902.8,0,334.96,0.247
21:59:30,0,35.4128033,138.593455,902.8,0,334.96,0.247
21:59:30,0,35.4128033,138.593455,902.8,0,334.96,0.247
21:59:30,15,35.4128033,138.593455,902.8,1607753592,334.96,0.247
21:59:30,15,35.4127983,138.5934567,902.9,1607753593,117.45,0.319
21:59:30,15,35.4127983,138.5934567,902.9,1607753593,117.45,0.319
21:59:30,15,35.4127983,138.5934567,902.9,1607753593,117.45,0.319
21:59:30,15,35.4127983,138.5934567,902.9,1607753593,117.45,0.319
21:59:31,15,35.412795,138.5934583,902.9,1607753594,117.45,0.226
21:59:31,15,35.412795,138.5934583,902.9,1607753594,117.45,0.226
21:59:31,15,35.412795,138.5934583,902.9,1607753594,117.45,0.226
21:59:31,15,35.412795,138.5934583,902.9,1607753594,117.45,0.226
21:59:31,15,35.412795,138.5934583,902.9,1607753594,117.45,0.226
21:59:31,15,35.412795,138.5934583,902.9,1607753594,117.45,0.226
21:59:31,15,35.412795,138.5934583,902.9,1607753594,117.45,0.226
21:59:31,15,35.412795,138.5934583,902.9,1607753594,117.45,0.226
21:59:31,15,35.412795,138.5934583,902.9,1607753594,117.45,0.226
21:59:31,15,35.412795,138.5934583,902.9,1607753594,117.45,0.226
21:59:31,15,35.412795,138.5934583,902.9,1607753594,117.45,0.226
21:59:31,15,35.412795,138.5934583,902.9,1607753594,117.45,0.226
21:59:31,15,35.412795,138.5934583,902.9,1607753594,117.45,0.226
21:59:31,15,35.412795,138.5934583,902.9,1607753594,117.45,0.226
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:31,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127917,138.5934583,903,1607753595,117.45,0.175
21:59:32,15,35.4127883,138.5934617,903.1,1607753596,108.32,0.34
21:59:32,15,35.4127883,138.5934617,903.1,1607753596,108.32,0.34
21:59:32,15,35.4127883,138.5934617,903.1,1607753596,108.32,0.34
21:59:32,15,35.4127883,138.5934617,903.1,1607753596,108.32,0.34
21:59:32,15,35.4127883,138.5934617,903.1,1607753596,108.32,0.34
21:59:32,15,35.4127883,138.5934617,903.1,1607753596,108.32,0.34
21:59:32,15,35.4127883,138.5934617,903.1,1607753596,108.32,0.34
21:59:32,15,35.4127883,138.5934617,903.1,1607753596,108.32,0.34
21:59:32,15,35.4127883,138.5934617,903.1,1607753596,108.32,0.34
21:59:32,15,35.4127883,138.5934617,903.1,1607753596,108.32,0.34
21:59:32,15,35.4127883,138.5934617,903.1,1607753596,108.32,0.34
21:59:32,15,35.4127883,138.5934617,903.1,1607753596,108.32,0.34
