time(h:m:s),ax,ay,az,anorm,rx,ry,rz,mx(raw),my(raw),mz(raw),mx(calib),my(calib),mz(calib),mx(calib&flt),my(calib&flt),mz(calib&flt),azimuth(calib),azimuth(calib&flt)
21:59:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.6,352.6
21:59:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.6,352.6
21:59:30,0,0,0,0,0,0,0,-29.25,-61.35,-54.15,-29.25,-61.35,-54.15,0,2.97185e-313,1.35808e-312,108.091,262.6
21:59:30,0.840092,-0.140544,0.079544,0.855473,-9.66375,114.471,-48.2578,-28.65,-59.85,-50.55,-28.65,-59.85,-50.55,0,2.97185e-313,1.35808e-312,108.18,262.6
21:59:30,0.732488,-0.009272,0.264496,0.778834,-3.29238,139.012,-75.6028,-29.55,-57.75,-48.75,-29.55,-57.75,-48.75,0,2.97185e-313,1.35808e-312,109.698,262.6
21:59:30,0.801784,0.190076,0.42456,0.926951,-5.73118,89.5954,-64.2929,-30.15,-56.55,-47.55,-30.15,-56.55,-47.55,0,2.97185e-313,1.35808e-312,110.665,262.6
21:59:30,0.854488,0.288164,0.329888,0.960216,-5.27391,2.56074,0.85358,-30.15,-58.05,-48.45,-30.15,-58.05,-48.45,0,1.06066e-316,1.35808e-312,110.046,262.6
21:59:30,1.03163,0.371368,0.224968,1.11928,-13.5963,-26.522,64.6282,-28.65,-58.05,-49.95,-28.65,-58.05,-49.95,0,1.06065e-316,1.35808e-312,108.868,262.6
21:59:30,1.06457,0.262056,0.152988,1.10697,-34.0822,-23.9002,124.104,-26.55,-61.35,-49.05,-26.55,-61.35,-49.05,0,2.47033e-323,1.35808e-312,106.001,262.6
21:59:30,0.887672,0.074664,0.130784,0.900356,-52.3732,-2.74365,162.546,-23.25,-62.55,-46.95,-23.25,-62.55,-46.95,0,2.47033e-323,8.48798e-313,102.99,262.6
21:59:30,1.00016,0.001952,0.238388,1.02818,-58.3178,27.4365,169.436,-22.05,-64.65,-46.35,-22.05,-64.65,-46.35,0,2.47033e-323,7.08336e-313,101.433,262.6
21:59:30,1.20829,-0.160552,0.461648,1.3034,-53.5926,29.7534,162.912,-18.3,-65.4,-45.6,-18.3,-65.4,-45.6,0,-2.62684e-50,-2.62684e-50,98.2325,82.6
21:59:30,0.967704,-0.30012,0.266692,1.04769,-46.6116,-17.3765,108.71,-18.15,-66.45,-45.45,-18.15,-66.45,-45.45,-18.15,-56.55,-45.45,97.877,100.394
21:59:30,0.72712,-0.301096,0.282064,0.836016,-40.4841,-46.3372,27.6804,-16.5,-66.6,-47.4,-16.5,-66.6,-47.4,-18.15,-57.75,-45.6,96.5147,100.047
21:59:31,0.745908,-0.195932,0.283528,0.821679,-18.291,-59.9945,-30.8508,-18.75,-67.65,-47.85,-18.75,-67.65,-47.85,-18.3,-58.05,-46.35,98.0913,100.097
21:59:31,0.813008,-0.203496,0.352336,0.909139,-10.7917,-84.1386,-84.5044,-18.6,-66,-49.5,-18.6,-66,-49.5,-18.6,-58.05,-46.95,98.3388,100.366
21:59:31,0.945988,-0.102236,0.197884,0.971856,-6.43234,-113.038,-129.866,-19.65,-66.75,-52.05,-19.65,-66.75,-52.05,-18.75,-59.85,-47.4,99.0035,99.9949
21:59:31,1.1185,-0.040992,0.105408,1.1242,-1.64619,-109.319,-148.523,-24.6,-64.2,-53.4,-24.6,-64.2,-53.4,-19.65,-61.35,-47.55,103.566,100.36
21:59:31,1.5311,0.326472,0.205448,1.57894,-11.0051,-56.6106,-134.134,-24.9,-64.2,-54,-24.9,-64.2,-54,-22.05,-61.35,-47.85,103.799,102.369
21:59:31,1.18438,0.227896,0.208376,1.22397,-27.7414,4.38984,-96.8204,-26.4,-62.7,-52.5,-26.4,-62.7,-52.5,-23.25,-62.55,-48.45,105.434,102.99
21:59:31,0.897432,0.160552,0.118584,0.91936,-36.2162,33.7774,-76.4564,-28.2,-63,-53.7,-28.2,-63,-53.7,-24.6,-62.7,-48.75,106.714,104.022
21:59:31,0.954528,0.12444,0.197884,0.982734,-50.4527,66.0915,-48.0748,-28.2,-60.6,-50.4,-28.2,-60.6,-50.4,-24.9,-62.7,-49.05,107.555,104.259
21:59:31,0.99552,0.054656,0.304512,1.04248,-56.1534,60.8481,-23.7173,-27.9,-61.5,-49.2,-27.9,-61.5,-49.2,-24.9,-62.7,-49.05,107.002,104.259
21:59:31,1.00455,-0.051484,0.207156,1.02698,-56.5802,45.0568,-18.5654,-27.6,-60,-48.6,-27.6,-60,-48.6,-24.9,-62.7,-48.75,107.302,104.259
21:59:31,1.23513,-0.16592,0.16348,1.2569,-52.4952,63.6527,-37.0698,-27.45,-59.25,-44.85,-27.45,-59.25,-44.85,-24.9,-62.7,-48.6,107.458,104.259
21:59:31,1.39544,-0.185684,0.171532,1.41815,-40.2097,102.673,-79.261,-28.05,-55.35,-41.85,-28.05,-55.35,-41.85,-24.9,-62.7,-48.6,109.475,104.259
21:59:31,1.36738,-0.088816,0.229848,1.3894,-25.1806,134.439,-112.855,-30.9,-54.3,-42.6,-30.9,-54.3,-42.6,-24.9,-62.7,-48.6,112.243,104.259
21:59:31,0.875716,0.004392,0.288652,0.922073,-25.9732,124.013,-115.873,-29.4,-50.1,-39.6,-29.4,-50.1,-39.6,-24.9,-62.7,-47.85,113.006,104.259
21:59:31,0.568764,0.107848,0.30988,0.65662,-31.9178,96.2107,-92.0647,-30.45,-48.15,-37.05,-30.45,-48.15,-37.05,-24.9,-62.7,-47.4,114.909,104.259
21:59:31,0.585844,0.148596,0.288164,0.669576,-33.5335,54.9645,-55.3912,-31.5,-45.9,-36.6,-31.5,-45.9,-36.6,-26.4,-62.7,-47.4,117.061,105.434
21:59:31,0.734928,0.254736,0.265472,0.821879,-33.4725,21.6444,-15.5474,-29.1,-47.1,-34.8,-29.1,-47.1,-34.8,-27.45,-61.5,-47.4,114.309,106.653
21:59:31,0.776408,0.226676,0.23912,0.843427,-39.0513,-5.21294,32.1617,-30.15,-47.85,-35.85,-30.15,-47.85,-35.85,-27.6,-60.6,-47.4,114.815,107.087
21:59:31,0.787144,0.185928,0.239608,0.84355,-51.8245,-9.93811,72.4933,-28.65,-48.45,-34.65,-28.65,-48.45,-34.65,-27.9,-60,-47.4,113.197,107.538
21:59:31,0.71248,0.060268,0.196176,0.741448,-59.4458,-16.34,96.5155,-27.45,-49.35,-33.45,-27.45,-49.35,-33.45,-27.9,-59.25,-44.85,111.684,107.815
21:59:31,0.783728,-0.01708,0.186416,0.805774,-63.2869,-19.5714,102.673,-25.05,-51.45,-33.45,-25.05,-51.45,-33.45,-27.9,-55.35,-42.6,108.561,109.351
21:59:31,0.921588,-0.132248,0.317444,0.983659,-62.8601,-33.8993,95.3876,-22.8,-53.1,-31.5,-22.8,-53.1,-31.5,-27.9,-54.3,-41.85,105.838,109.795
21:59:31,0.890112,-0.227408,0.340136,0.979646,-57.9825,-65.4208,62.3113,-23.25,-54.15,-33.15,-23.25,-54.15,-33.15,-27.9,-54.15,-39.6,105.837,109.859
21:59:31,0.980636,-0.235948,0.253028,1.03988,-37.0698,-76.182,0.97552,-20.85,-55.65,-33.15,-20.85,-55.65,-33.15,-27.9,-54.15,-37.05,103.139,109.859
21:59:31,1.10483,-0.125416,0.264496,1.14295,-20.9737,-74.6883,-55.1779,-22.5,-55.5,-35.1,-22.5,-55.5,-35.1,-27.9,-54.15,-36.6,104.668,109.859
21:59:31,1.01114,-0.03294,0.222284,1.0358,-16.4009,-87.8273,-77.4319,-22.8,-56.4,-34.5,-22.8,-56.4,-34.5,-27.9,-54.15,-35.85,104.611,109.859
21:59:31,0.823744,0.073688,0.236192,0.860099,-16.34,-84.8093,-81.1511,-23.55,-55.95,-36.15,-23.55,-55.95,-36.15,-27.6,-54.15,-35.85,105.427,109.608
21:59:31,0.940132,0.202276,0.258884,0.995884,-23.2601,-72.1275,-61.3053,-24,-57.3,-36,-24,-57.3,-36,-27.45,-54.15,-35.85,105.326,109.482
21:59:31,0.988688,0.32452,0.243512,1.0687,-34.2042,-74.5663,-21.2176,-24,-57.6,-36,-24,-57.6,-36,-27.45,-54.15,-35.85,105.22,109.482
21:59:31,1.02651,0.240584,0.11712,1.06081,-49.4772,-69.8716,27.6499,-21.9,-58.8,-38.1,-21.9,-58.8,-38.1,-25.05,-54.15,-35.85,103.028,107.425
21:59:31,1.01358,0.122,0.164456,1.03405,-66.4573,-40.606,63.4698,-19.8,-59.4,-36.3,-19.8,-59.4,-36.3,-24,-54.15,-35.85,101.035,106.504
21:59:31,1.12094,0.10004,0.215452,1.14583,-77.7368,-8.16998,87.4615,-18.75,-61.05,-37.65,-18.75,-61.05,-37.65,-24,-54.15,-35.85,99.673,106.504
21:59:32,1.06774,0.011224,0.216672,1.08956,-83.346,17.5594,101.149,-15,-60.6,-35.1,-15,-60.6,-35.1,-23.55,-54.15,-35.1,96.5027,106.104
21:59:32,1.03212,-0.119316,0.193248,1.05681,-73.2555,34.9053,92.4915,-13.95,-61.05,-34.35,-13.95,-61.05,-34.35,-23.25,-55.5,-35.1,95.4712,105.33
21:59:32,1.03798,-0.191296,0.205448,1.07527,-62.4943,47.6785,61.2139,-12.75,-60.45,-33.45,-12.75,-60.45,-33.45,-22.8,-55.65,-34.8,94.5102,104.879
21:59:32,0.873764,-0.205692,0.27328,0.938325,-52.8,47.8919,10.243,-11.7,-59.7,-33.3,-11.7,-59.7,-33.3,-22.8,-55.95,-34.65,93.6883,104.771
21:59:32,0.736392,-0.074664,0.290848,0.795261,-40.667,43.0448,-27.0097,-12,-58.8,-32.1,-12,-58.8,-32.1,-22.5,-56.4,-34.5,94.1346,104.349
21:59:32,0.881572,-0.020252,0.2928,0.929145,-36.7954,27.6499,-38.9598,-12.45,-58.65,-30.75,-12.45,-58.65,-30.75,-21.9,-57.3,-34.35,94.5846,103.517
21:59:32,1.01211,0.14152,0.208376,1.04299,-36.2162,13.2305,-40.667,-11.55,-58.35,-31.05,-11.55,-58.35,-31.05,-20.85,-57.6,-33.45,93.7966,102.499
21:59:32,0.88816,0.049288,0.276452,0.931495,-38.4111,9.60278,-29.7534,-11.85,-57.45,-30.45,-11.85,-57.45,-30.45,-19.8,-57.6,-33.45,94.2547,101.57
21:59:32,0.833504,0.081008,0.332816,0.901142,-40.728,-13.7792,-15.9741,-12.15,-57.15,-29.85,-12.15,-57.15,-29.85,-18.75,-57.6,-33.45,94.6023,100.631
21:59:32,0.889624,0.055876,0.280844,0.934573,-42.8009,-36.0028,-1.37182,-9.6,-58.2,-30.9,-9.6,-58.2,-30.9,-15,-58.2,-33.45,91.9665,97.0524
21:59:32,1.09995,0.017568,0.211792,1.12029,-44.0203,-46.8859,5.60924,-9.45,-59.85,-31.65,-9.45,-59.85,-31.65,-13.95,-58.35,-33.45,91.5726,96.0456
21:59:32,1.03578,-0.041724,0.156404,1.04835,-43.4716,-39.2952,2.4388,-8.7,-61.2,-31.8,-8.7,-61.2,-31.8,-12.75,-58.65,-33.45,90.6908,94.8648
21:59:32,0.865224,-0.07808,0.178608,0.88691,-40.4231,-13.4744,-5.67021,-7.35,-60.15,-31.35,-7.35,-60.15,-31.35,-12.45,-58.8,-33.3,89.5667,94.5549
21:59:32,1.03529,-0.086376,0.304512,1.0826,-34.2042,4.23742,-19.7238,-7.5,-59.4,-32.1,-7.5,-59.4,-32.1,-12.15,-58.8,-32.1,89.7962,94.2749
21:59:32,1.07262,-0.075152,0.365024,1.13552,-24.9977,-2.4388,-37.8624,-9,-59.7,-31.8,-9,-59.7,-31.8,-12,-59.4,-32.1,91.173,94.0212
21:59:32,0.9577,-0.05734,0.33428,1.01598,-20.0591,-35.576,-52.9829,-10.35,-62.25,-33.45,-10.35,-62.25,-33.45,-11.85,-59.4,-32.1,92.0399,93.8821
21:59:32,1.09361,-0.000732,0.29768,1.1334,-17.9252,-80.5414,-65.7257,-11.25,-61.05,-35.55,-11.25,-61.05,-35.55,-11.7,-59.7,-32.1,93.0411,93.6883
21:59:32,1.17071,0.057096,0.22448,1.19341,-18.23,-86.5774,-66.2744,-11.25,-62.55,-36.15,-11.25,-62.55,-36.15,-11.55,-59.7,-32.1,92.796,93.5496
21:59:32,1.08702,0.06222,0.059048,1.0904,-20.5164,-52.0074,-59.8421,-11.4,-62.4,-36.9,-11.4,-62.4,-36.9,-11.4,-59.85,-32.1,92.9533,93.3843
21:59:32,1.07067,0.071736,0.134932,1.08152,-28.6559,30.485,-48.4407,-12.6,-61.8,-35.1,-12.6,-61.8,-35.1,-11.4,-59.85,-32.1,94.1237,93.3843
21:59:32,1.00089,0.103456,0.37576,1.07409,-34.3261,50.4222,-32.8019,-13.2,-60.9,-34.5,-13.2,-60.9,-34.5,-11.4,-59.85,-32.1,94.8296,93.3843
21:59:32,0.711016,0.12322,0.333548,0.794972,-33.1067,16.218,-6.76767,-11.55,-61.95,-34.05,-11.55,-61.95,-34.05,-11.4,-59.85,-32.1,93.161,93.3843
21:59:32,0.814716,0.071492,0.24156,0.852775,-36.0638,-5.4873,26.0037,-8.85,-62.55,-34.05,-8.85,-62.55,-34.05,-11.25,-59.85,-32.1,90.6531,93.2457
21:59:32,1.1956,0.101504,0.209352,1.21803,-43.1058,4.51178,49.5076,-8.55,-62.25,-34.35,-8.55,-62.25,-34.35,-11.25,-60.15,-32.1,90.4206,93.1938
21:59:32,1.16827,0.049532,0.193736,1.18526,-46.0628,22.4979,63.3783,-6.9,-61.2,-30.6,-6.9,-61.2,-30.6,-10.35,-60.9,-31.8,89.0327,92.2453
21:59:32,1.08897,0.034404,0.24522,1.11677,-47.6481,52.4952,71.8227,-4.2,-60.9,-32.1,-4.2,-60.9,-32.1,-9.6,-60.9,-32.1,86.5452,91.5581
21:59:32,1.14778,-0.005856,0.250344,1.17477,-45.6056,59.3238,76.2125,-4.8,-60,-29.7,-4.8,-60,-29.7,-9.45,-60.9,-32.1,87.1739,91.4204
21:59:32,1.14704,-0.044408,0.19154,1.16377,-41.2462,65.116,73.8956,-2.4,-57.9,-29.7,-2.4,-57.9,-29.7,-9,-60.9,-32.1,84.9736,91.0065
21:59:32,1.17071,-0.062952,0.25376,1.19955,-35.3016,75.6028,65.9086,-1.65,-55.95,-28.05,-1.65,-55.95,-28.05,-8.85,-60.9,-32.1,84.2892,90.8684
21:59:32,0.981612,-0.07076,0.34892,1.04418,-30.3021,68.2254,55.5742,-0.6,-57.3,-27.9,-0.6,-57.3,-27.9,-8.7,-60.9,-32.1,83.1999,90.7301
21:59:32,0.918904,-0.079544,0.267424,0.960327,-25.7293,45.1788,41.6425,0.3,-56.7,-28.2,0.3,-56.7,-28.2,-8.55,-60.9,-32.1,82.2969,90.5918
21:59:32,1.01821,-0.091256,0.25132,1.05273,-21.5834,32.5885,20.9127,1.05,-54.75,-26.55,1.05,-54.75,-26.55,-7.5,-60.9,-32.1,81.5013,89.6208
21:59:33,0.88328,-0.082472,0.297192,0.935579,-17.9252,15.9741,4.2679,1.5,-54.6,-26.7,1.5,-54.6,-26.7,-7.5,-60.9,-32.1,81.0263,89.6208
21:59:33,0.907924,-0.080764,0.302072,0.960258,-14.7243,-4.8776,-9.32841,0.6,-54.6,-27,0.6,-54.6,-27,-6.9,-60.9,-31.8,81.9704,89.0641
21:59:33,1.01358,-0.049288,0.30744,1.06032,-10.7917,-16.8887,-22.1321,0.3,-56.1,-27,0.3,-56.1,-27,-4.8,-60.9,-30.6,82.2936,87.1066
21:59:33,1.03651,-0.041968,0.252784,1.06772,-8.23095,-23.1686,-28.8388,3.15,-55.95,-26.55,3.15,-55.95,-26.55,-4.2,-60,-29.7,79.3776,86.6042
21:59:33,1.01358,-0.032452,0.2135,1.03633,-5.67021,-25.3026,-34.4481,0.15,-57.75,-28.65,0.15,-57.75,-28.65,-2.4,-57.9,-29.7,82.4512,84.9736
21:59:33,1.08629,-0.019032,0.259128,1.11693,-3.96305,-21.9492,-36.4601,2.25,-56.55,-27.75,2.25,-56.55,-27.75,-1.65,-57.75,-28.65,80.3215,84.2366
21:59:33,1.12533,-0.019276,0.329156,1.17264,-2.19492,-21.1261,-37.3441,-0.15,-57.45,-28.65,-0.15,-57.45,-28.65,-0.6,-57.45,-28.65,82.7496,83.1984
21:59:33,1.08678,-0.03172,0.32452,1.13464,0.42679,-31.3996,-38.8379,1.2,-57,-28.2,1.2,-57,-28.2,-0.15,-57.3,-28.2,81.394,82.75
21:59:33,1.14948,-0.047336,0.271816,1.18213,3.71917,-43.624,-43.1972,-0.9,-59.1,-29.4,-0.9,-59.1,-29.4,-0.15,-57.3,-28.2,83.4725,82.75
21:59:33,1.17657,-0.03904,0.251808,1.20385,6.64573,-55.2998,-46.703,-2.25,-60.15,-30.15,-2.25,-60.15,-30.15,-0.15,-57.3,-28.2,84.7422,82.75
21:59:33,1.1529,-0.011224,0.252784,1.18034,8.9321,-52.1598,-48.7455,-2.85,-61.05,-30.75,-2.85,-61.05,-30.75,-0.15,-57.3,-28.2,85.2728,82.75
21:59:33,1.06189,0.022936,0.277672,1.09783,10.121,-40.8499,-47.5566,-3,-61.5,-31.5,-3,-61.5,-31.5,-0.15,-57.3,-28.2,85.3927,82.75
21:59:33,1.09434,0.024888,0.117852,1.10095,10.4868,-27.0402,-42.1303,-3.3,-60.9,-31.8,-3.3,-60.9,-31.8,-0.15,-57.3,-28.2,85.7017,82.75
21:59:33,1.04188,0.105652,0.18788,1.06394,6.18846,24.4185,-28.9303,-5.55,-59.85,-31.65,-5.55,-59.85,-31.65,-0.15,-57.3,-28.2,87.898,82.75
21:59:33,0.868152,0.10248,0.316712,0.929783,3.53626,29.2046,-5.73118,-4.35,-61.05,-31.05,-4.35,-61.05,-31.05,-0.15,-57.3,-28.2,86.6756,82.75
21:59:33,0.877668,0.100772,0.30866,0.935803,1.79862,10.9441,17.0106,-3.9,-60.3,-31.2,-3.9,-60.3,-31.2,-0.15,-57.3,-28.2,86.3005,82.75
21:59:33,1.09605,0.091744,0.229116,1.12349,-1.31086,-9.51132,41.734,-3.45,-61.65,-31.05,-3.45,-61.65,-31.05,-0.15,-57.45,-28.65,85.803,82.7496
21:59:33,1.21122,0.088816,0.174704,1.22697,-5.36536,-6.64573,59.4458,-1.05,-60.15,-31.65,-1.05,-60.15,-31.65,-0.15,-57.75,-28.65,83.6001,82.7488
21:59:33,1.13436,0.04514,0.222284,1.15681,-10.3344,13.7183,75.3894,0.6,-60,-30,0.6,-60,-30,-0.15,-59.1,-29.4,82.0271,82.7454
21:59:33,1.0941,0.020496,0.245952,1.12159,-12.133,34.9358,84.9312,0.9,-59.7,-30.3,0.9,-59.7,-30.3,-0.15,-59.7,-30,81.7363,82.744
21:59:33,1.17706,-0.033672,0.236192,1.20099,-9.05405,49.5991,82.7363,1.5,-57.9,-30.3,1.5,-57.9,-30.3,-0.15,-59.7,-30.15,81.116,82.744
21:59:33,1.14143,-0.07198,0.254004,1.17157,-0.213395,57.4642,70.3594,0.45,-57.15,-28.35,0.45,-57.15,-28.35,-0.15,-59.7,-30.15,82.1489,82.744
21:59:33,1.02138,-0.09272,0.302072,1.06914,6.03603,49.0199,56.946,3.15,-54.75,-28.65,3.15,-54.75,-28.65,-0.15,-59.7,-30.15,79.3072,82.744
21:59:33,1.00382,-0.115168,0.309392,1.05671,10.9136,37.0698,37.649,2.4,-55.5,-27.9,2.4,-55.5,-27.9,-0.15,-59.7,-30.15,80.1239,82.744
21:59:33,0.982344,-0.073688,0.296704,1.02882,14.5718,25.8513,11.3404,2.55,-54.75,-28.05,2.55,-54.75,-28.05,-0.15,-59.7,-30.15,79.9334,82.744
21:59:33,1.00943,-0.07442,0.243512,1.04105,18.6263,13.139,-4.32887,3.3,-53.4,-27.6,3.3,-53.4,-27.6,-0.15,-59.7,-30.15,79.0637,82.744
21:59:33,1.00284,-0.06588,0.26352,1.03898,22.315,5.06051,-15.0596,1.8,-53.1,-26.1,1.8,-53.1,-26.1,0.45,-59.7,-30.15,80.6585,82.1681
21:59:33,0.959164,-0.038308,0.316956,1.0109,25.0587,-8.41386,-21.5834,0.9,-55.2,-27,0.9,-55.2,-27,0.45,-59.7,-30.15,81.6659,82.1681
21:59:33,0.979416,-0.016592,0.298656,1.02407,27.0707,-23.6564,-24.9977,-0.15,-55.65,-27.45,-0.15,-55.65,-27.45,0.45,-59.7,-30.15,82.7544,82.1681
21:59:33,1.06823,-0.023912,0.259128,1.09947,28.8998,-31.8873,-27.1621,-0.15,-55.95,-27.75,-0.15,-55.95,-27.75,0.45,-57.9,-30,82.7536,82.1547
21:59:33,1.1063,-0.040504,0.220088,1.1287,30.9118,-37.6185,-29.9363,-0.9,-57.6,-27.6,-0.9,-57.6,-27.6,0.45,-57.6,-28.65,83.4952,82.1524
21:59:33,1.11776,-0.051728,0.241072,1.14463,33.6554,-35.4845,-34.6614,-3.15,-58.35,-28.05,-3.15,-58.35,-28.05,0.45,-57.6,-28.35,85.6901,82.1524
21:59:34,1.11947,-0.037088,0.2806,1.1547,36.4601,-29.4485,-39.9353,-3.9,-58.2,-28.5,-3.9,-58.2,-28.5,0.45,-57.6,-28.35,86.4337,82.1524
21:59:34,1.10678,-0.013176,0.316224,1.15115,38.3501,-26.0952,-42.679,-4.65,-58.65,-28.65,-4.65,-58.65,-28.65,0.45,-57.6,-28.35,87.1331,82.1524
21:59:34,1.0858,-0.008296,0.228872,1.10969,40.3317,-33.4116,-44.691,-4.65,-59.25,-30.45,-4.65,-59.25,-30.45,0.45,-57.6,-28.35,87.0874,82.1524
21:59:34,1.0492,-0.01952,0.282552,1.08676,41.4596,-35.4236,-44.9349,-6.3,-60.3,-30.9,-6.3,-60.3,-30.9,0.45,-57.6,-28.35,88.5645,82.1524
21:59:34,1.04139,0.000488,0.262056,1.07386,42.2522,-48.9589,-41.9778,-7.5,-60.6,-33.9,-7.5,-60.6,-33.9,0.45,-57.6,-28.35,89.6552,82.1524
21:59:34,1.05603,0.080276,0.228384,1.08342,39.8744,-44.1423,-30.3326,-8.85,-61.05,-32.85,-8.85,-61.05,-32.85,0.45,-57.6,-28.35,90.8483,82.1524
21:59:34,1.08385,0.010248,0.213256,1.10468,36.3381,-29.0827,-17.7423,-7.05,-61.05,-32.85,-7.05,-61.05,-32.85,-0.15,-57.6,-28.35,89.1873,82.7492
21:59:34,1.02992,0.068076,0.174948,1.04689,33.9298,-10.7917,-5.73118,-9.15,-61.95,-32.85,-9.15,-61.95,-32.85,-0.15,-57.6,-28.35,91.0018,82.7492
21:59:34,1.07165,0.076128,0.210328,1.09474,30.1192,5.24342,9.1455,-9.75,-61.65,-34.35,-9.75,-61.65,-34.35,-0.9,-57.6,-28.35,91.5869,83.4952
21:59:34,1.04212,0.073444,0.270108,1.07906,26.6439,16.8887,24.1136,-8.7,-60.6,-32.4,-8.7,-60.6,-32.4,-3.15,-58.2,-28.5,90.7698,85.698
21:59:34,1.03944,0.070272,0.264496,1.07486,24.327,21.9492,37.8014,-7.65,-60.75,-31.95,-7.65,-60.75,-31.95,-3.9,-58.35,-28.5,89.7772,86.4239
21:59:34,1.09336,0.030012,0.203496,1.11254,22.9857,22.7418,47.4956,-8.1,-60.9,-31.5,-8.1,-60.9,-31.5,-4.65,-58.65,-28.65,90.1762,87.1331
21:59:34,1.21463,-0.020984,0.17568,1.22745,23.0467,36.643,51.4587,-7.65,-59.85,-31.35,-7.65,-59.85,-31.35,-4.65,-59.25,-30.45,89.884,87.0874
21:59:34,1.12923,-0.047092,0.274012,1.16296,26.8268,54.9035,44.9044,-8.4,-60,-30.6,-8.4,-60,-30.6,-6.3,-59.85,-30.6,90.5696,88.609
21:59:34,1.10093,-0.038552,0.306464,1.14344,30.485,58.4093,35.4236,-7.95,-58.05,-30.75,-7.95,-58.05,-30.75,-7.05,-59.85,-30.75,90.3982,89.3182
21:59:34,1.04139,-0.064904,0.302316,1.08633,33.5945,43.3192,23.1991,-7.8,-58.5,-29.4,-7.8,-58.5,-29.4,-7.5,-59.85,-30.75,90.1946,89.7427
21:59:34,1.08531,-0.072712,0.258884,1.11813,36.643,16.5838,3.81063,-8.7,-57.6,-29.1,-8.7,-57.6,-29.1,-7.65,-59.85,-30.75,91.1891,89.884
21:59:34,1.13411,-0.057096,0.269376,1.16706,38.533,9.63326,-9.02356,-8.25,-58.35,-28.05,-8.25,-58.35,-28.05,-7.65,-59.85,-30.75,90.6476,89.884
21:59:34,1.05823,-0.035136,0.270108,1.09272,40.2707,12.1025,-17.5289,-11.1,-55.8,-28.8,-11.1,-55.8,-28.8,-7.8,-59.85,-30.75,93.8507,90.0253
21:59:34,0.987712,-0.0244,0.252784,1.01984,41.6425,12.9256,-24.1441,-10.65,-55.95,-28.65,-10.65,-55.95,-28.65,-7.95,-59.85,-30.75,93.3772,90.1664
21:59:34,1.06506,-0.01464,0.23058,1.08983,42.2217,8.23095,-27.1317,-12.6,-56.4,-29.1,-12.6,-56.4,-29.1,-8.1,-59.85,-30.75,95.1933,90.3075
21:59:34,1.04578,-0.010248,0.29036,1.08539,42.1303,2.01201,-27.0707,-13.8,-57.9,-30.3,-13.8,-57.9,-30.3,-8.25,-59.85,-30.75,96.0059,90.4485
21:59:34,0.994544,-0.016104,0.321592,1.04537,42.1303,-12.7122,-26.4,-13.65,-57.45,-29.25,-13.65,-57.45,-29.25,-8.4,-59.85,-30.75,95.9655,90.5893
21:59:34,1.03114,-0.005124,0.301584,1.07435,42.1608,-36.0333,-26.8268,-14.85,-57.15,-31.05,-14.85,-57.15,-31.05,-8.7,-58.5,-30.75,97.1658,91.0589
21:59:34,1.02822,0.012688,0.281088,1.06602,41.7035,-55.7876,-27.2536,-16.05,-58.95,-33.15,-16.05,-58.95,-33.15,-8.7,-58.5,-30.75,97.8304,91.0589
21:59:34,1.11703,0.020008,0.259372,1.14692,39.8439,-74.2919,-23.8088,-17.1,-59.7,-35.1,-17.1,-59.7,-35.1,-8.7,-58.5,-30.75,98.5834,91.0589
21:59:34,1.17242,0.044896,0.27084,1.20413,35.5455,-77.7977,-14.145,-18,-60,-35.7,-18,-60,-35.7,-9.15,-58.5,-30.75,99.2992,91.4896
21:59:34,1.10532,0.057584,0.197152,1.12424,31.5825,-67.9815,-4.38984,-17.85,-61.35,-35.85,-17.85,-61.35,-35.85,-9.75,-58.5,-30.75,98.8225,92.0623
21:59:34,1.11191,0.018056,0.17446,1.12566,28.3815,-47.0688,3.01802,-19.05,-62.85,-39.75,-19.05,-62.85,-39.75,-10.65,-58.5,-30.75,99.4622,92.9178
21:59:34,1.12094,0.011956,0.243024,1.14704,28.1986,-25.2416,6.76767,-18.3,-63.3,-40.8,-18.3,-63.3,-40.8,-11.1,-58.5,-30.75,98.7246,93.3438
21:59:34,1.02382,0.033428,0.282796,1.06269,29.8753,-15.8522,12.3769,-18.45,-63.15,-40.95,-18.45,-63.15,-40.95,-12.6,-58.5,-30.75,98.8863,94.7549
21:59:35,0.991616,0.038552,0.245952,1.02239,29.6314,-15.9741,18.4739,-18.3,-63.6,-40.5,-18.3,-63.6,-40.5,-13.65,-58.5,-30.75,98.6524,95.734
21:59:35,1.16388,-0.028304,0.15128,1.17401,29.5095,-3.59723,22.437,-18.3,-63.6,-41.1,-18.3,-63.6,-41.1,-13.8,-58.5,-30.75,98.6524,95.8733
21:59:35,1.12777,-0.099796,0.162992,1.14385,36.6125,43.8069,11.7672,-18.45,-62.25,-39.75,-18.45,-62.25,-39.75,-14.85,-58.5,-31.05,99.1091,96.8435
21:59:35,0.988688,-0.083936,0.238632,1.02054,44.3862,76.0296,-6.64573,-17.85,-61.35,-39.45,-17.85,-61.35,-39.45,-16.05,-58.95,-33.15,98.8225,97.8304
